hidden_dim,expansion_ratio,dropout,val_loss
24,8,0.0,0.04559365045660015
24,8,0.1,0.14587482948371105
24,8,0.2,0.1659976032019305
24,16,0.0,0.03298910372266147
24,16,0.1,0.07250401444643612
24,16,0.2,0.09856728574118681
24,32,0.0,0.035488853522482655
24,32,0.1,0.040674523974019994
24,32,0.2,0.055260947659058986
24,64,0.0,0.042682483563153156
24,64,0.1,0.04295648587401394
24,64,0.2,0.054602084248718735
48,8,0.0,0.05277245072221136
48,8,0.1,0.13868527731660457
48,8,0.2,0.1632528236300899
48,16,0.0,0.02910883396881646
48,16,0.1,0.07503721294474291
48,16,0.2,0.08472114369592
48,32,0.0,0.028685570165394823
48,32,0.1,0.04555527339462428
48,32,0.2,0.04843013799206641
48,64,0.0,0.04064593642265623
48,64,0.1,0.04939150088983172
48,64,0.2,0.04874641777281123
96,8,0.0,0.040139629595650296
96,8,0.1,0.2208522017577281
96,8,0.2,0.20965754736306236
96,16,0.0,0.030768326760102625
96,16,0.1,0.0704795261380284
96,16,0.2,0.10944695376151303
96,32,0.0,0.028162617089131578
96,32,0.1,0.04866267981816449
96,32,0.2,0.05064133429989237
96,64,0.0,0.035060876336588116
96,64,0.1,0.04866188222611964
96,64,0.2,0.045432590186055284
